scheme,outer_fold,model,candidate,inner_fold_id,inner_mae
loo,11,pcr,2.0,2,2.5872614818437003
loo,11,pcr,3.0,0,1.5097457562620886
loo,11,pcr,3.0,1,3.2023217730919273
loo,11,pcr,3.0,2,2.4772285827860636
loo,11,pcr,5.0,0,1.5929481865160138
loo,11,pcr,5.0,1,2.5067836330090216
loo,11,pcr,5.0,2,2.4032192480996213
loo,12,ridge,0.1,0,2.6839800475937965
loo,12,ridge,0.1,1,2.4069186813951275
loo,12,ridge,0.1,2,3.927398351212254
loo,12,ridge,1.0,0,2.682990157986275
loo,12,ridge,1.0,1,2.4075732139516965
loo,12,ridge,1.0,2,3.92133910319633
loo,12,ridge,10.0,0,2.6717602816897967
loo,12,ridge,10.0,1,2.413402336310939
loo,12,ridge,10.0,2,3.8647109776434423
loo,12,ridge,100.0,0,2.5218916000603167
loo,12,ridge,100.0,1,2.4385394155782003
loo,12,ridge,100.0,2,3.5149025885943708
loo,12,ridge,1000.0,0,1.8886657622961387
loo,12,ridge,1000.0,1,2.4061264711480024
loo,12,ridge,1000.0,2,2.9756405842082887
loo,12,ridge,10000.0,0,2.3884968528913695
loo,12,ridge,10000.0,1,1.9424041791857043
loo,12,ridge,10000.0,2,2.6161017993312057
loo,12,pcr,1.0,0,2.8613143708011863
loo,12,pcr,1.0,1,2.0985912892173633
loo,12,pcr,1.0,2,2.893713415703262
loo,12,pcr,2.0,0,1.8885850635256851
loo,12,pcr,2.0,1,2.6467251379539625
loo,12,pcr,2.0,2,2.714263927667385
loo,12,pcr,3.0,0,2.061292965857023
loo,12,pcr,3.0,1,3.046104068672891
loo,12,pcr,3.0,2,2.608596685824119
loo,12,pcr,5.0,0,1.9359711485948772
loo,12,pcr,5.0,1,2.325903795638799
loo,12,pcr,5.0,2,3.381748267281177
loo,13,ridge,0.1,0,2.8852463546577996
loo,13,ridge,0.1,1,2.939185831608947
loo,13,ridge,0.1,2,3.9557976418643244
loo,13,ridge,1.0,0,2.877980284643261
loo,13,ridge,1.0,1,2.9343869719797406
loo,13,ridge,1.0,2,3.949627887922986
loo,13,ridge,10.0,0,2.8089922121925888
loo,13,ridge,10.0,1,2.8902554005462195
loo,13,ridge,10.0,2,3.8909251645080487
loo,13,ridge,100.0,0,2.350202917304351
loo,13,ridge,100.0,1,2.6484377310964295
loo,13,ridge,100.0,2,3.5018582003913097
loo,13,ridge,1000.0,0,1.6999485716745621
loo,13,ridge,1000.0,1,2.2774767793810207
loo,13,ridge,1000.0,2,3.055958317806065
loo,13,ridge,10000.0,0,1.8281883937148586
loo,13,ridge,10000.0,1,1.9583159996251538
loo,13,ridge,10000.0,2,3.664261389159875
loo,13,pcr,1.0,0,2.5852460790149556
loo,13,pcr,1.0,1,2.2073207323492308
loo,13,pcr,1.0,2,4.279608290408541
loo,13,pcr,2.0,0,1.6313424466375015
loo,13,pcr,2.0,1,2.6263719256041465
loo,13,pcr,2.0,2,3.0837227324782863
loo,13,pcr,3.0,0,1.6879986096849227
loo,13,pcr,3.0,1,2.6250156766609574
loo,13,pcr,3.0,2,2.6488494159660356
loo,13,pcr,5.0,0,2.1361371329548264
loo,13,pcr,5.0,1,2.0470789886793272
