scheme,outer_fold,component,feature,loading,component_regression_coef
five_fold,0,1,V_t_53,-0.01802085973132642,0.024160632855260808
five_fold,0,1,V_t_54,-0.01808447272292634,0.024160632855260808
five_fold,0,1,V_t_55,-0.018578133884799494,0.024160632855260808
five_fold,0,1,V_t_56,-0.018763145901341517,0.024160632855260808
five_fold,0,1,V_t_57,-0.018485585931744018,0.024160632855260808
five_fold,0,1,V_t_58,-0.01840629148645939,0.024160632855260808
five_fold,0,1,V_t_59,-0.018397794094726635,0.024160632855260808
five_fold,0,1,V_t_60,-0.018681419823803717,0.024160632855260808
five_fold,0,1,V_t_61,-0.018484754449359018,0.024160632855260808
five_fold,0,1,V_t_62,-0.018574377415401872,0.024160632855260808
five_fold,0,1,V_t_63,-0.018528580227372256,0.024160632855260808
five_fold,0,1,V_t_64,-0.018615907237680092,0.024160632855260808
five_fold,0,1,V_t_65,-0.01855254863301331,0.024160632855260808
five_fold,0,1,V_t_66,-0.018444538181969963,0.024160632855260808
five_fold,0,1,V_t_67,-0.01856650536903074,0.024160632855260808
five_fold,0,1,V_t_68,-0.018646162418730478,0.024160632855260808
five_fold,0,1,V_t_69,-0.018601607819188192,0.024160632855260808
five_fold,0,1,V_t_70,-0.018354717103640558,0.024160632855260808
five_fold,0,1,V_t_71,-0.01846811002041623,0.024160632855260808
five_fold,0,1,V_t_72,-0.018469960628192512,0.024160632855260808
five_fold,0,1,V_t_73,-0.01864673181649265,0.024160632855260808
five_fold,0,1,V_t_74,-0.01893817841824884,0.024160632855260808
five_fold,0,1,V_t_75,-0.01863187708197289,0.024160632855260808
five_fold,0,1,V_t_76,-0.01589604432878336,0.024160632855260808
five_fold,0,1,V_t_77,0.020195618577627503,0.024160632855260808
five_fold,0,1,V_t_78,0.01834047603075567,0.024160632855260808
five_fold,0,1,V_t_79,0.018218264697755785,0.024160632855260808
five_fold,0,1,V_t_80,0.0185543486033426,0.024160632855260808
five_fold,0,1,V_t_81,0.018364189664336273,0.024160632855260808
five_fold,0,1,V_t_82,0.018570658106883103,0.024160632855260808
five_fold,0,1,V_t_83,0.018495016302104216,0.024160632855260808
five_fold,0,1,V_t_84,0.01840046414179579,0.024160632855260808
five_fold,0,1,V_t_85,0.018629164394168153,0.024160632855260808
five_fold,0,1,V_t_86,0.018440399478273452,0.024160632855260808
five_fold,0,1,V_t_87,0.01847121251159557,0.024160632855260808
five_fold,0,1,V_t_88,0.018494591950263015,0.024160632855260808
five_fold,0,1,V_t_89,0.018333098704619143,0.024160632855260808
five_fold,0,1,V_t_90,0.018630682407698676,0.024160632855260808
